type,shm_bufsize,arbiter_bufsize,primes_num,checked,errnum,errgen,time
forward,8,1024,40000,186,0,0,6.03
forward,8,1024,40000,141,16,4000,6.01
forward,8,1024,40000,110,0,0,6.14
forward,8,1024,40000,96,13,4000,6.11
forward,8,1024,40000,131,0,0,6.09
forward,8,1024,40000,130,15,4000,6.08
forward,8,1024,40000,430,0,0,6.02
forward,8,1024,40000,101,12,4000,6.10
forward,8,1024,40000,140,0,0,6.04
forward,8,1024,40000,141,16,4000,6.01
forward,8,1024,40000,71,0,0,6.06
forward,8,1024,40000,142,17,4000,6.01
forward,8,1024,40000,78,0,0,6.12
forward,8,1024,40000,139,16,4000,6.07
forward,8,1024,40000,120,0,0,6.11
forward,8,1024,40000,126,15,4000,6.04
forward,8,128,40000,142,0,0,6.02
forward,8,128,40000,142,17,4000,6.02
forward,8,128,40000,141,0,0,6.02
forward,8,128,40000,142,17,4000,6.01
forward,8,128,40000,142,0,0,6.01
forward,8,128,40000,71,8,4000,6.06
forward,8,128,40000,130,0,0,6.11
forward,8,128,40000,141,17,4000,6.02
forward,8,128,40000,127,0,0,6.05
forward,8,128,40000,141,17,4000,6.09
forward,8,128,40000,146,0,0,6.01
forward,8,128,40000,140,16,4000,6.01
forward,8,128,40000,93,0,0,6.11
forward,8,128,40000,143,16,4000,6.09
forward,8,128,40000,142,0,0,6.02
forward,8,128,40000,141,16,4000,6.01
forward,8,128,40000,117,0,0,6.06
forward,8,128,40000,141,16,4000,6.06
forward,8,128,40000,139,0,0,6.09
forward,8,128,40000,142,17,4000,6.03
forward,8,128,40000,142,0,0,6.01
forward,8,128,40000,147,17,4000,6.01
forward,8,16,40000,139,1,0,6.01
forward,8,16,40000,139,16,4000,6.04
forward,8,16,40000,140,1,0,6.01
forward,8,16,40000,95,12,4000,6.13
forward,8,16,40000,30,1,0,6.17
forward,8,16,40000,125,15,4000,6.10
forward,8,16,40000,139,0,0,6.01
forward,8,16,40000,138,19,4000,6.03
forward,8,16,40000,139,0,0,6.01
forward,8,16,40000,73,10,4000,6.14
forward,8,16,40000,140,0,0,6.01
