benchmark,tsan-races,tsan-usertime,tsan-systime,tsan-time,tsan-maxmem,helgrind-races,helgrind-usertime,helgrind-systime,helgrind-time,helgrind-maxmem,vamos-races,vamos-usertime,vamos-systime,vamos-time,vamos-maxmem,vamos-maxmem-mon,vamos-eventsnum,vamos-dropped,vamos-holes
mix030_tso.i , 0,0.01,0.0,0.52,19096,0,0.45,0.02,0.47,50520,0,0.0,0.0,0.16,1788,3524,50,0,0
mix031.oepc.i , 0,0.0,0.0,0.52,19004,0,0.44,0.01,0.46,50264,0,0.0,0.0,0.16,1756,3384,44,0,0
mix031.opt.i , 0,0.01,0.0,0.52,19008,0,0.46,0.0,0.47,50268,0,0.0,0.0,0.16,1756,3532,35,0,0
mix032.oepc.i , 0,0.01,0.0,0.52,19080,0,0.44,0.02,0.47,50532,0,0.0,0.0,0.16,1796,3456,67,0,0
mix032.opt.i , 0,0.0,0.01,0.52,18884,0,0.44,0.02,0.47,49820,0,0.0,0.0,0.16,1788,3448,48,0,0
mix033.opt.i , 0,0.0,0.01,0.52,19072,0,0.44,0.02,0.47,50268,0,0.0,0.0,0.16,1772,3504,47,0,0
mix033_power.oepc_pso.oepc_rmo.oepc.i , 0,0.0,0.01,0.52,18896,0,0.42,0.04,0.47,50532,0,0.0,0.0,0.16,1792,3452,66,0,0
mix033_tso.oepc.i , 0,0.0,0.0,0.52,19068,0,0.45,0.02,0.47,50532,0,0.0,0.0,0.16,1780,3492,66,0,0
mix034_power.oepc_power.opt_pso.oepc_rmo.oepc_rmo.opt_tso.oepc.i , 0,0.0,0.0,0.13,19712,0,0.44,0.02,0.46,50240,0,0.0,0.0,0.16,1760,3492,37,0,0
mix034_pso.opt_tso.opt.i , 0,0.0,0.01,0.51,18928,0,0.43,0.03,0.47,50512,0,0.0,0.0,0.16,1744,3480,28,0,0
mix035.oepc.i , 0,0.0,0.0,0.52,18900,0,0.45,0.01,0.47,50532,0,0.0,0.0,0.16,1800,3688,60,0,0
mix035_power.opt_rmo.opt.i , 0,0.0,0.0,0.52,18948,0,0.44,0.02,0.47,50516,0,0.0,0.0,0.16,1912,3688,61,0,0
mix035_pso.opt_tso.opt.i , 0,0.0,0.0,0.52,19088,0,0.45,0.01,0.47,50248,0,0.0,0.0,0.16,1848,3548,41,0,0
mix036.oepc.i , 0,0.0,0.01,0.52,18848,0,0.44,0.02,0.47,50520,0,0.0,0.0,0.16,1768,3532,83,0,0
mix036_power.opt_rmo.opt.i , 0,0.0,0.0,0.52,18980,0,0.43,0.03,0.47,50532,0,0.0,0.0,0.16,1796,3460,76,0,0
mix036_pso.opt_tso.opt.i , 0,0.0,0.01,0.51,19120,0,0.44,0.02,0.46,50516,0,0.0,0.0,0.16,1808,3468,54,0,0
mix037.opt.i , 0,0.0,0.0,0.51,18944,0,0.45,0.02,0.47,50516,0,0.0,0.0,0.16,1760,3396,53,0,0
mix037_power.oepc_pso.oepc_rmo.oepc.i , 0,0.0,0.01,0.52,18916,0,0.44,0.02,0.47,49804,0,0.0,0.0,0.16,1752,3464,82,0,0
mix037_tso.oepc.i , 0,0.0,0.0,0.52,19064,0,0.44,0.02,0.47,49800,0,0.0,0.0,0.16,1764,3516,82,0,0
mix038.opt.i , 0,0.0,0.01,0.52,18884,0,0.44,0.02,0.47,50260,0,0.0,0.0,0.16,1760,3448,40,0,0
mix038_power.oepc_pso.oepc_rmo.oepc.i , 0,0.0,0.0,0.52,19056,0,0.45,0.01,0.47,50528,0,0.0,0.0,0.16,1840,3500,59,0,0
mix038_tso.oepc.i , 0,0.0,0.0,0.52,18896,0,0.44,0.02,0.47,50536,0,0.0,0.0,0.16,1912,3440,59,0,0
mix039.oepc.i , 0,0.0,0.0,0.52,19084,0,0.45,0.01,0.47,50516,0,0.0,0.0,0.16,1680,3464,82,0,0
mix039.opt.i , 0,0.0,0.0,0.52,19096,0,0.44,0.02,0.47,50512,0,0.0,0.0,0.16,1780,3560,53,0,0
mix040.opt.i , 0,0.0,0.0,0.52,18988,0,0.45,0.01,0.47,50516,0,0.0,0.0,0.16,1804,3396,52,0,0
mix040_power.oepc_pso.oepc_rmo.oepc.i , 0,0.0,0.0,0.52,18836,0,0.45,0.01,0.47,50516,0,0.0,0.0,0.16,1796,3464,81,0,0
mix040_tso.oepc.i , 0,0.0,0.01,0.52,18924,0,0.45,0.01,0.47,50532,0,0.0,0.0,0.16,1776,3400,73,0,0
mix041_power.oepc_pso.oepc_rmo.oepc.i , 0,0.0,0.01,0.51,18860,0,0.45,0.01,0.47,50256,0,0.0,0.0,0.16,1808,3528,36,0,0
mix041_power.opt_pso.opt_rmo.opt_tso.oepc_tso.opt.i , 0,0.0,0.0,0.51,18972,0,0.44,0.02,0.47,50260,0,0.0,0.0,0.16,1904,3356,26,0,0
mix042.oepc.i , 0,0.0,0.01,0.52,18928,0,0.45,0.02,0.47,50528,0,0.0,0.0,0.16,1780,3440,59,0,0
mix042.opt.i , 0,0.0,0.0,0.52,18908,0,0.46,0.0,0.47,50516,0,0.0,0.0,0.16,1740,3624,39,0,0
mix043.oepc.i , 0,0.0,0.01,0.52,19064,0,0.43,0.03,0.47,50520,0,0.0,0.0,0.16,1776,3460,82,0,0
mix043.opt.i , 0,0.0,0.0,0.51,18896,0,0.44,0.02,0.46,50528,0,0.0,0.0,0.16,1768,3460,52,0,0
mix044.opt.i , 0,0.0,0.0,0.52,18924,0,0.44,0.03,0.47,50536,0,0.0,0.0,0.16,1804,3460,51,0,0
mix044_power.oepc_pso.oepc_rmo.oepc.i , 0,0.0,0.0,0.52,19216,0,0.46,0.0,0.47,50516,0,0.0,0.0,0.16,1808,3704,81,0,0
mix044_tso.oepc.i , 0,0.0,0.01,0.52,19168,0,0.45,0.01,0.47,50520,0,0.0,0.0,0.16,1776,3464,81,0,0
mix045_power.oepc_pso.oepc_rmo.oepc.i , 0,0.0,0.0,0.52,18872,0,0.45,0.01,0.47,50532,0,0.0,0.0,0.16,1732,3688,58,0,0
mix045_power.opt_pso.opt_rmo.opt_tso.oepc_tso.opt.i , 0,0.0,0.0,0.52,18992,0,0.45,0.01,0.46,50532,0,0.0,0.0,0.16,1796,3440,38,0,0
mix046.oepc.i , 0,0.0,0.01,0.52,18848,0,0.44,0.02,0.47,50516,0,0.0,0.0,0.16,1780,3464,81,0,0
mix046.opt.i , 0,0.01,0.0,0.52,19012,0,0.45,0.01,0.47,50532,0,0.0,0.0,0.16,1804,3460,51,0,0
mix047_power.oepc_pso.oepc_rmo.oepc.i , 0,0.0,0.0,0.52,18984,0,0.45,0.01,0.47,50516,0,0.0,0.0,0.16,1768,3460,80,0,0
mix047_power.opt_pso.opt_rmo.opt_tso.oepc_tso.opt.i , 0,0.0,0.0,0.51,18768,0,0.44,0.02,0.46,50528,0,0.0,0.0,0.16,1832,3512,50,0,0
mix048_power.oepc_power.opt_pso.oepc_pso.opt_rmo.oepc_rmo.opt_tso.oepc_tso.opt-podwr000_power.oepc_power.opt_pso.oepc_pso.opt_rmo.oepc_rmo.opt_tso.oepc_tso.opt.i , 0,0.0,0.0,0.52,18772,0,0.42,0.04,0.47,50508,0,0.0,0.0,0.16,1752,3416,37,0,0
mix049_power.oepc_power.opt_pso.oepc_pso.opt_rmo.oepc_rmo.opt_tso.oepc_tso.opt-podwr001_power.oepc_power.opt_pso.oepc_pso.opt_rmo.oepc_rmo.opt_tso.oepc_tso.opt.i , 0,0.0,0.0,0.51,18804,0,0.44,0.02,0.47,50268,0,0.0,0.0,0.16,1744,3620,60,0,0
mix050.i , 0,0.0,0.0,0.52,18936,0,0.45,0.01,0.47,49552,0,0.0,0.0,0.16,1760,3540,83,0,0
mix051_power.oepc_power.opt_pso.oepc_rmo.oepc.i , 0,0.0,0.0,0.52,19028,0,0.44,0.02,0.47,50532,0,0.0,0.0,0.16,1808,3520,82,0,0
mix051_pso.opt_rmo.opt_tso.opt.i , 0,0.0,0.01,0.52,18968,0,0.44,0.02,0.47,50524,0,0.0,0.0,0.16,1852,3516,53,0,0
mix051_tso.oepc.i , 0,0.0,0.0,0.52,19096,0,0.45,0.01,0.47,50532,0,0.0,0.0,0.16,1784,3524,82,0,0
mix052_power.oepc_power.opt_pso.oepc_rmo.oepc.i , 0,0.0,0.0,0.52,18768,0,0.44,0.02,0.47,50532,0,0.0,0.0,0.16,1740,3428,59,0,0
mix052_pso.opt_rmo.opt_tso.opt.i , 0,0.0,0.0,0.51,18868,0,0.44,0.02,0.47,50260,0,0.0,0.0,0.16,1740,3480,40,0,0
mix052_tso.oepc.i , 0,0.0,0.01,0.52,18876,0,0.44,0.02,0.47,50528,0,0.0,0.0,0.16,1796,3504,59,0,0
mix053.opt.i , 0,0.0,0.01,0.52,19052,0,0.44,0.02,0.46,50516,0,0.0,0.0,0.16,1768,3520,52,0,0
mix053_power.oepc_pso.oepc_rmo.oepc.i , 0,0.0,0.0,0.52,18904,0,0.44,0.03,0.47,49804,0,0.0,0.0,0.16,1784,3520,81,0,0
mix053_tso.oepc.i , 0,0.0,0.0,0.52,18988,0,0.43,0.03,0.47,50532,0,0.0,0.0,0.16,1812,3456,73,0,0
